Id,Question,Essay,ta,cc,lr,gr,Overall
55,"In many countries people have to pay for medical care, but some think that it should be a
free service provided by the government.
To what extent do you agree or disagree?","In many countries private healthcare is the norm whereas in others it is provided by the
government free of charge. Many people think that the latter should be adopted across the world. I
would agree with this sentiment and would argue that universal access to healthcare should be
seen as a human right.
Perhaps the biggest problem with government provided healthcare is the cost. Because an efficient
healthcare service costs a great deal of money to provide, governments need to raise extra funds
in order to cover costs. The only way of doing this is to collect taxes from the population. Many
people object to this and see it is paying for a service that they may not use. They argue that
private healthcare is a much more effective service.

However, proponents of a state funded system argue that everybody should have access to
medical treatment. Furthermore the quality of the care and treatment provided should be universal.
They claim that private healthcare which is run for profit leads to inequality. This is because if
individuals are forced to pay for their own treatment then this excludes the poor from access to
help and only the wealthy are able to benefit.
This is an issue that has polarized opinion in a number of countries. For example America recently
implemented a state funded healthcare system and it was met with widespread protests from half
of the population. However, I would agree that the government should provide healthcare to its
citizens as is the model in many European countries.
In conclusion I believe that although there are high costs involved, universal health care should be
a priority for governments. It is evident that not everybody is in agreement with this but I think that it
is unethical for people to suffer because they cannot afford treatment for a medical condition.",9,9,9,9,9
56,"Some species of animals are almost extinct; and many others seem to be fast approaching
a similar risk. What are the reasons for this? What should be done to solve this problem?","Nowadays some of the animals are extinct. Also other animals are now nearly extincted. This is
bad for the world and animals are needed in the world, animals are over all the world in every
coutry and we all must to save the animals together.
One biggest problems is make animals extincted is people. Animals are in every country and some
animals are dangerous for people. People kill the animals that are dangerous for people to live with
them and then some of animals should be extincted. People are killing the animals all over the
world all the time with hunting them for example in Africa some people are killing lions and
elephants this is for sport and is not very good for the animals. Also animals killed with guns and
then after species are sell for money. For example some medicine and products are made by
animals and this is bad for the extinct problem. Some people using the animals for clothes and
wear the animals after kill. I don’t think that we need to wearing the animals and we can use the
clothes that are not animals. Also some animals are in the sea that are extincted and we use them
much. The problem is we all are using the animals and I think that we need stop to use the
animals.
In conclusion people are killing lots animals and that is too much so the problem can be solved
instead we need protection of the most animals.",5,5,5,5,5
57,"Some species of animals are almost extinct; and many others seem to be fast approaching
a similar risk. What are the reasons for this? What should be done to solve this problem?","Nowadays a very big problems are extinct animals. Many animal species are now extinct and there
are other animals that nearly are extinct. If all of the animals are extinct this would be very bad
situation for the planet. Although there are some solutions to this problem.

The biggest cause of the problem is humans. Humans kill too many animals for it is not sustainable
situation. One of the biggest ways of killing animals is with hunting. Many animals have been kill
with hunting. In some countries are laws about the hunting of animals and it is only for some
people and some times.
The problem is some people do the hunting even against the law and they are not caught for this.
There is animal poaching and this makes many people angry, with animals but they can be very
expensive when they are sold and gets lots of money for people. As a result, this is a big problems
for some endangered like tigers and rhinos. The solution to the problem is to have more money to
make checks and patrol in the wild where the animals living. If there were more serious punishes
for people that are killing animals then there will be less people that kill the animals. The animals
need more protection by humans to save the species from extinct.
In conclusion, the main problem for animals in wild is the humans. We kill the animals for hunting
and for money. All of the countries need to work together to protect the environment that animals
are living in so that we can save the animals.",6,6,6,6,6
58,"Some species of animals are almost extinct; and many others seem to be fast approaching
a similar risk. What are the reasons for this? What should be done to solve this problem?","For the environment one of the biggest problems is the extinction by animals. Many animals are
indangered and are nearly extinct. This is a big problem for us as animals are needed for the
diverse life. I think that humans need to be responsible to the animals on earth and have to try
saving the animal species.
The biggest problem for animal species is certainly humans. We are kill animals for sport, for food,
for clothes and medicine. Due to the population of humans is growing, we are killing more and
more animals. One example of this is poaching indangered animals like the lion and rhino. Also
many species of fish is reduced because we use too many fish from the sea.
Another problem is the loss of habitaits for animals because of humans. When the population
grows more and more people live in towns and cities and they get larger. Many animals cannot live
near the cities and towns and there is not room left enough for the animals to live. An example of
this is the tiger in Asia.
Despite there are problems, there are also solutions to this problem. Firstly we need to control the
number of animals that are been killed by us. If people kill too many animals then there should
strict punishments. Also we need to protect the habitait of animals and we can have special areas,
parks and zoos for them to live safety.
In Conclusion, it is clear that the biggest cause of animals extinction is human activities. We need
to have responsibility for animal species and protect them so that they do not die.",7,7,7,7,7
59,"Some species of animals are almost extinct; and many others seem to be fast approaching
a similar risk. What are the reasons for this? What should be done to solve this problem?","It is clear that many species of animals are nearly extinction which has very negative
consequences for the diversity of life on our planet. The purpose of this essay is examine the
reasons for this problem and suggest some solutions.
The major threat to the survival of animal species is human activity. This is clear in the illegal
poaching of animals like tigers and rhinos who are hunted for sport and to sell on the black market.
Many species of fish are also the victims of overfishing.
However, we have also had a profound effect on animal life in the way we live. Population growth
over the last one hundred years has had a highly disastrous effect as cities and towns reduce
many animal’s habitats. Also, in order to sustain our growing population, we need more and more
space for agriculture. This can be see in the destruction of the Amazon rainforest which has
endangered many species.
One final negative human influence can be seen in the changing environment. Climate change
threatens to change the planet too quickly which could have terrible results for many animals. A
clear example of this is the habitat of the polar bear which expects to be drastically reduce over the
next few decades.
Despite these problems there are some measures that could address the problem. Governments
need to share responsibility and have stricter punishments for animal hunters. We can also have
larger protected areas where human activity is limited. Perhaps the most difficult problem to
address is that of climate change which would mean change the way we live.
In conclusion, we can see that humans are having a very negative effect on animal numbers. We
need to take responsibility for the protection of animal numbers and reducing the number of
animals being killed directly and indirectly by human activity.",8,8,8,8,8
60,"Some species of animals are almost extinct; and many others seem to be fast approaching
a similar risk. What are the reasons for this? What should be done to solve this problem?","One of the most pressing environmental concerns of the modern age is animal conservation. It is
apparent that many species of animals are facing extinction which has devastating consequences
for the diversity of life on our planet. The purpose of this essay is to examine the reasons for this
problem and suggest some preventative measures.
The major threat to the survival of animal species is humankind. This is clear in the illegal poaching
of endangered animals like tigers and rhinos which are hunted for sport and to be sold on the black
market. Many species of fish are also the victims of overfishing which has a disastrous effect on
fish numbers.
However, we have also had a profound effect on animal life in the way in which we live. Rapid
urbanisation over the last one hundred years has had a highly destructive effect as cities and
towns encroach on many animal’s ecosystems. Also, in order to sustain our growing population,
more and more space is needed for agriculture. This is most evident in the deforestation of the
Amazon rainforest which has endangered many species.
One final negative human influence can be seen in the changing environment. Animal ecosystems
are the result of millions of years of evolution whereby the animals have adapted to their
surroundings. Climate change threatens to alter these surroundings at an incredible rate which
could have cataclysmic results for many animals. A clear example of this is the habitat of the polar
bear which is expected to be drastically reduced over the next few decades.
Despite these problems there are some measures that could be taken to address the problem.
Governments around the world need to share responsibility for protecting animals and implement
more severe punishments for animal poachers and hunters. We can also have larger protected
areas and national parks where human activity is limited. Perhaps the most difficult problem to
address is that of climate change which would mean a dramatic change in human behaviour.
In conclusion, we can see that humans are having a very negative effect on animal numbers. We
need to take responsibility for the protection of animal numbers by reducing the number of animals
being killed directly and indirectly by human activity.",9,9,9,9,9
61,"It can be difficult for small local shops to compete with large supermarkets and with on-line
shops. How does this affect local communities? What could be done to improve this
situation?","In many communities there are local shops and there are large supermarkets. Also many people
are buying online shops. Online shops and large supermarkets are good because many things sell
there and many products are not much expensive. The problem wiht large supermarkets and
online shops is, that small shops are not many than before.
I like buying form big shops there is more choose in big shops and you can get many products that
are not in small shops. I think that this is good for peoples to buy from large supermarkets. The
local comunity is better wiht more large supermarkets. In my country many people buy from large
supermarkets all of the people get their shopping. The problem is that all plaeces are now the
same and there is the same shopping centre and supermarket.
One option is buy online shopping. On the internet there are many products that you can’t buy in a
local shop.You can see prices and make cheap buying. But many people say that internet
shopping is not safe shopping and there is dangerous. I also think that small shop are good and
they selling special items. Sometimes I buy from local shops they are very convenience. I think that
if all small shops are not compete then small shops can close. This is not good for local comunities
and people should buying from small shops so that communities staying different. I think that
everybody can use local shops and get him shopping from local shops but also large supermarkets
for some shopping.",5,5,5,5,5
62,"It can be difficult for small local shops to compete with large supermarkets and with on-line
shops. How does this affect local communities? What could be done to improve this
situation?","Nowadays it is possible for buying from large supermarkets and also from the online shopping.
This is good for some people and we can choose many products. The problem is small local shops
that are closing because of big shops. I think that small shops need saving.
There is more choice than in the past for shopping. For example there are out town shopping
centres and large supermarkets in every town. On the other hand many people buy online
shopping and this is very cheap for some people. Online shopping is also all day so people
working can shop at night for cheap.
However the problem is with small local shops. Small retailists do not have very much money and
also they buy not many products. This means that they sell small numbers and the price is high for
them to make money. Many people go large shopping and online because the price is high. As a
result in the future small shops will close because no customers are shopping there. This is
happening in my country. All shops are the same in the towns and small shops have to close
because of the crisis.
Only large supermarkets or retailists the same everywhere else can be open. I think that it is a
problem and if all shops close then towns would all be the same everywhere.
In conclusion, I think that people need to support local shops and buy there so that they stay open.
We all need to help to have the local community the way we want to live.",6,6,6,6,6
63,"It can be difficult for small local shops to compete with large supermarkets and with on-line
shops. How does this affect local communities? What could be done to improve this
situation?","Nowadays there is more choice for the consumers then ever in the past. Most small towns have a
large supermarket and you can buy any product on the internet with just the click. This might be
good for consumners but small local shops are competition and they have to close, in my opinion
we need to protect small shops by closing.
Large supermarkets have many stores all over the country. Because of this they are buying many
products for very cheap. Because they sell many products they can have very small profit of
margin on each item. Also many supermarkets have special offers and are very cheap. On, the
other hand, small local shops only have one shop and only sell little items. Due to the small
number they have to sell products more expensive and don’t compete with the larger shops.
If all local shops don’t compete then they have to close. This is very bad for local communities
because there are only large supermarkets and larger shops. This means that all places are the
same as everywhere else and also you can get the same products but not different local products.
I think that people should support the small shops and try and use them for shopping. But not only
the people can help. Maybe the government can help the small shops to stay open and have
cheap rent or cheap tax for them.

In conclusion, I think that if local shops close then local communities are not different or interesting.
I think that all of us need to support local shops and help them to survive.",7,7,7,7,7
64,"It can be difficult for small local shops to compete with large supermarkets and with on-line
shops. How does this affect local communities? What could be done to improve this
situation?","Nowadays there is more choice for the consumer than ever before. Large supermarket chains sell
products from around the world at very low prices. We are also able to buy anything from the
internet and have next day delivery. However, is a problem for small local shops, and our local
communities. I would suggest that we need to take measures to address this problem.
Large chain store are able to buy and sell a very large amount of products and, as a result they
can sell goods with a very small profit margin. Online retailers have comparatively low costs as
they do not have to keep a shop. This saving is then passed on to the customer in the form of low
prices. In comparison, smaller local shops have to sell products at a relative high price in order to
make a profit. Unable to compete, they often close.
With the loss of these shops are high streets and town centres become identical with the same
shops fronts and products. It has also been found that local shops generate more employment
than larger, chain stores.
What we need to do to encourage people to shop locally. This could be in the form of publicity
campaigns, which highlight the benefits to support local businesses. The government could also
offer tax breaks and incentives to local businesses so that they can compete with larger
companies.
To conclude, we can see a number of, mostly financial, reasons why smaller shops are unable to
compete and that the loss of these businesses would have a negative impact on the community.
Individuals and government both need to play a role in supporting local businesses so that we can
preserve the diversity of our towns and cities.",8,8,8,8,8
65,"It can be difficult for small local shops to compete with large supermarkets and with on-line
shops. How does this affect local communities? What could be done to improve this
situation?","Nowadays there is more choice for the consumer than ever before. Large supermarket chains sell
products from around the world at rock bottom prices. We are also able to buy anything we desire
from the internet and, often, have it delivered the next day. However, this comes at the detriment of
small local shops, and our local communities. I would suggest that we need to take measures to
address this problem.
Large chain store are able to purchase and trade a very large volume of goods and, as a result
they can sell goods with a very small profit margin. Likewise, online retailers have comparatively
low overheads as they do not have to maintain a shop. This saving is then passed on to the
customer in the form of low prices. In comparison, smaller local shops have to sell products at a
relatively high price in order to make a profit. Unable to compete, they often face closure.
The problem with this is that the community loses it’s sense of identity. It is often these small shops
that differentiate one town from another. With the loss of these shops, high streets and town
centres become homogenised with the same shops fronts and products. It has also been found
that local shops generate more employment than larger, chain stores.
What we need to do is to encourage people to shop locally. This could be in the form of publicity
campaigns, highlighting the benefits of supporting local businesses. The government could also
play a role by offering tax breaks and incentives to local businesses so that they are better able to
compete with larger companies.
To conclude, we can see a number of, mostly financial, reasons why smaller shops are unable to
compete and that the loss of these businesses would have a negative impact on the community.
Individuals and government both need to play a role in supporting local businesses so that we can
preserve the diversity of our towns and cities.",9,9,9,9,9
66,"Many believe that modern technology has brought people together, but others say that it
has driven us apart.
Discuss both viewpoints and give your own opinion.","Many people believe that modern technology has brought people together but others believe that
technology has driven people apart. I think both of these are true sometimes but mosty technology
is good and people together more than apart. Nowadays there are many ways of communicate
with technology. If I went to live in another country then I can still speak with family and friends
everyday. Everyone has smartphones and are communicate everyday with people you can call and
send sms and also emails. Social media is also good for communicate people many people are on
social media and often all of you family and friends can communicate together and have the same
thing to see maybe videos and photo shared too. Also there are new communications on
smartphones like whatsapp and also facetime snapchat. These are things new on phones and
everybody communicate all the time all over the world and is free everybody. This is good.
On the other hand technology has driven people apart. maybe some people are with all their time
on the computer or with the mobil phone. This is not a good thing for people to make friends and
also to speak with someone in the physical. Sometimes when me and my friends are together in
restaurant or cafe everybody is using smartphones, they are sending messages or making tweets
or checking facebook or even playing games. I don’t think this is good because friends should be
together talking and not on smartphones. Also you see people on bus or trains or in town and
everybody is with technology but nobody is talking with peoples.",5,5,5,5,5
67,"Many believe that modern technology has brought people together, but others say that it
has driven us apart.
Discuss both viewpoints and give your own opinion.","Nowadays technology has changed the way we interact with people. Some people think this is
always good and we are brought together but other people think it is bad and people are driven
apart. I think technology can be both.

It is now much easy for communicating with other people and staying in contact with friends and
family also for makie new friends. The internet changed the way that we communicate with email
and social media like facebook and twitter. Secondly, the internet smartphones made this better
with many apps for communicate though messages and pictures.
If you are in an abroad country now you can communicate with all of your friends and family from
home. On the other hand some people think that the internet is bad for relationship and has driven
people apart. Therefore people nowadays have less face for face talking with people. Smartphones
are for communication but people now spend their time with screens and not talking to people near
them. This is true if you see friends together and some families now spend most of the time in
different rooms. In the past families were watching TV in one room together and often were
discussing things they saw.
In conclusion, I think that the modern technology is mostly good for communicate with people and
that is very useful for being in contact with people in different places. There is also new
relationships like online dating and other communicate apps. But relationships with technology are
bad and people are driven apart.",6,6,6,6,6
68,"Many believe that modern technology has brought people together, but others say that it
has driven us apart.
Discuss both viewpoints and give your own opinion.","Nowadays technology has changed the way that we interact with other people. for some people
these changes are positive and they bring people together. For other people technology has meant
that people are more separate. To an extent I agree with both of these opinions.
On the one hand, tchnology has meant that we can be in communication with people all over the
world instant. Firstly the telephone and sms messaging helped people to stay in touch and then the
internet introduced email and social media. Secondly, many people have a smartphone and can
communicate over the internet wherever they are with a wide variety of application and website.
As a result, many people see these changes like a positive thing. If you are in another country then
you could remain in contact with all of the people that you know. It is now usually for people to
meet others online and chat and become friends or start relationship.
On the other hand, there are other people who say that all this ways of communicating it is having
a negative effect. Lots of people spend all of their time online and looking at screens and not
interacting with people in real life
in conclusion I think that modern technology has brought people together. I think that it is so easy
to communicate with other people and find people who think similar to you. However, we need to
be careful that we protect the relationships that we have with people face to face.",7,7,7,7,7
69,"Many believe that modern technology has brought people together, but others say that it
has driven us apart.
Discuss both viewpoints and give your own opinion.","In modern life, technology has transformed the way that we make and keep relationships. For
some, these changes have been positive but others believed that they have made us more
separate than before. I think that both of these views are valid but that there are more positive
consequences.
Due to technology we are now able to communicate instantly with people all over the world. This
communication is possible in many different way for example, through phone calls, video calls,
emails messages and share photos. We can also meet new people on dating sites and chatrooms.
These changes are mostly positive for many people. They argue that they allow us to stay in touch
with people all over the world and that our location is not as important for our relationships as in the
past. The fact that we can also share information quick and easily means that we able to know a lot
more about the people that we communicate with.
However, there are also some disadvantages. For example some people spend much less time to
meet people in real life than they did before. As a result, people are said that the relationships that
we make are not as strong due to the fact that we can create a false, online personal rather than
get to know someone on a more personal level. It is certainly true that young people today tend to
spend their time glued with their screens rather than meeting people outside.
In conclusion, it is clear that modern communication is largely different than it used to be. I would
argue that these impacts are generally positive but that we still need to ensure that we spend time
nurturing relationships with people that we know in person.",8,8,8,8,8
70,"Many believe that modern technology has brought people together, but others say that it
has driven us apart.
Discuss both viewpoints and give your own opinion.","In modern life, technology has transformed the way that we form and maintain relationships. For
some, these changes have been overwhelmingly positive but others believe that they have made
us more isolated than before. I think that both of these views are valid but that the benefits
outweigh the disadvantages.
Thanks to technology we are now able to communicate instantly with people all over the world.
This communication is also possible with a wide range of applications and devices for example,

through phone calls, video calls, emails messages and sharing photos. Additionally there are now
a number of dating sites and apps that allow us to start new relationships.
These changes are predominantly positive for many people. They argue that they allow us to stay
in touch with people all over the world and that our relationships are no longer governed by
geographical location. The fact that we can also share information quickly and easily means that
we are able to know a lot more about the people that we communicate with.
However, despite these benefits there are also some negative aspects. For example some people
spend much less time interacting face to face than they did before. As a result, it can be argued
that the relationships that we form are shallower due to the fact that we can create a false, online
personality rather than getting to know someone on a deeper, more personal level. It is certainly
true that young people today have a tendency to spend their time glued to their screens rather than
meeting people in the flesh.
In conclusion, it is clear that modern communication is largely different than it used to do be. I
would argue that these impacts are generally positive but that we still need to ensure that we
spend time nurturing relationships with people that we know in person.",9,9,9,9,9
71,"In some countries there are more young people choosing to enrol in work-based training
instead of attending university.
Do the advantages of this situation outweigh the disadvantages?","Today, young people are choosing to start work instead of attending university. This have many
benifits but also has some disadvantages. I think both sides have good points, but get a job is
more useful for the people and the society because they can earn a lot of money and have many
experience.
Many young people want to work and not go to university so they can earn some money. For
example, my friend works in the shop to sell clothes. She makes money and she learns how can
she be a good seller because her boss teach her so many things. It is important to have an
experience so you can deal any thing. With experience, you can find better job or improve your
work. Sometimes company want workers with knowlege of work, not university. University don’t
have any experience of true life, only you can learn about ideas and thinking. However the
university gives people the opportunity they can have a good job with high paid. All the companies
want workers who have good exams to show they are inteligent and good education. So if you try
to get a good job, you must go to university. For example, if you became a businessman, you will
need to studying economy so you understand the busness and money. Some people said you
don’t need money to be happy, but is difficulty when you need to buy house and food. University
cost money, so it is better to earn money by work.",5,5,5,5,5
72,"In some countries there are more young people choosing to enrol in work-based training
instead of attending university.
Do the advantages of this situation outweigh the disadvantages?","These days, young people chose to do training at work and less people go to university. This has
many benifits for both the society and the young, but also has some disadvantages. I think both
sides have good points, but getting a job is more useful for the person and the society.
However, many young people want to work and not go to university so they can earn some money
and also get training for their future career. For example, many companies have internship which

young people can do. It gives them a chance to learn about a career. Also, these people can take
the knowlege that they get from the job to benifit other people in the society. Many young people at
university do not work hard, they just play video games or go out with friends, so it is better they
start working and maybe they can go to university later. Internship needs hard-working, so they
learn to be serious and deal with other coworkers in their job. They can be fired if they are not
serious, and they will lose their job.
The university gives people more opportunities to choose a good career, so they enjoy their job,
and have high salary. This education teaches them all about subjects like economics, but this is not
so necessary for a good workers. You can not know all about a job if you have only study.
Therefore in my opinion, it is better for young people to start work, but they need to have a good
education so they can be a good worker. University gives people opportunities to improve they
knowlege about subjects. So both sides have advantages.",6,6,6,6,6
73,"In some countries there are more young people choosing to enrol in work-based training
instead of attending university.
Do the advantages of this situation outweigh the disadvantages?","These days, rather than going to university, young people are choosing to do training at work. This
has benefits for both the society and the young, but some drawbacks also exist.
University gives people more opportunities to choose a good career, so they feel more satisfied by
their job, have high salaries and the possibility for improve their education with Master’s degree in
the future. Hopefully, they will also teach other young people so that the country remains success
in the future. Also, many workers need to have a degree on their CV when they apply to a job.
However, several young people also take advantage of opportunities to gain valuable experience in
the workplace as soon as possible. This mean they can earn some money and also get training for
their future career. For example, many companies offer internship or apprenticeship, such as
engineering companies where young people can work to learn, instead of study. Sometimes the
things we learn from real life are more important than books.
Furthermore, experience from work is very useful. You can have a more fun life in the office,
meeting and going out with colleagues is a good way to improve your sociality. Many people meet
their friends from their job, but only have a few friends from the university. Often, workplaces have
many events, like parties, which may be fun for young people.
In conclusion, there are many advantages of university education, but I believe the benefits of
workplace experience are greater, as they are possible for all and allow young people to have
awareness and experience to earn a good salary from their career.",7,7,7,7,7
74,"In some countries there are more young people choosing to enrol in work-based training
instead of attending university.
Do the advantages of this situation outweigh the disadvantages?","In our modern world, the choices made by young people with regards to beginning a career are
changing as many of them are choosing do training in the workplace. This has numerous benefits
for both the society and the young, though some drawbacks also exist.
Higher education opens a number of doors to graduates, who will have more opportunities as life
develops, so they feel more satisfied by their profession, have high salaries and the possibility for
improve their education with Master’s degree in the future. This means they will have a higher
quality life, and will be able to save money for the future. Furthermore, in educating themselves,
many people can feel a sense of satisfaction and personal development.
However, a huge advantage for youngsters making the decision to enter the workplace nowadays
is in the range of apprenticeship and training opportunities available. These allow young workers to
earn enough money and recieve on-the-job training while attending college courses and getting
qualifications. In countries where this apprenticeships are not available, young people may be able
to pay their own part-time studies by earning a salary. For example, they might chose to gain
experience working as part of a team in a convenience store or cafe, allowing them to learn on the
job and save some money.
Furthermore, the experience that young people receive when working is unvaluable in the real
world of work. That is to say, education is good for understanding in general, but you cannot be
such good worker in an office environment with only knowledge from books. Indeed, our society
needs people who know how to do things, not just talk about them.
In conclusion, there are many advantages of a traditionally university education, but I believe the
benefits of more modern options outweigh them, as they are open to all and enable young people
to gain awareness and experience necessary to earn a good salary from their chosen career.",8,8,8,8,8
75,"In some countries there are more young people choosing to enrol in work-based training
instead of attending university.
Do the advantages of this situation outweigh the disadvantages?","In our modern world, the choices made by young people in relation to beginning a career are
changing with many university-age people opting to undertake training in the workplace. While this
has numerous benefits for both society and the young, some drawbacks can also be observed.
Tertiary education opens a number of doors to graduates, who tend to have more opportunities as
life develops, leading to them potentially feeling more fulfilled by their profession, earning higher
salaries and the possibility to further their education through Master’s degrees or Doctorates in the
future. Not only can the benefits be felt in increased earning power but also in terms of personal
development, with graduates having been proved to lead healthier, more fulfilled lives.
However, a huge advantage for youngsters making the decision to enter the workplace nowadays
lies in the diverse range of apprenticeships and vocational training opportunities available. These
allow young workers to earn a modest living and receive on-the-job training while attending college
courses and earning recognised qualifications. In countries in which such apprenticeships are not
available, young people may be able to fund their own part-time studies by earning a salary. For
example, the huge increase in the number of call centres in up-and-coming countries could provide
a youngster with a stable job while undertaking training in other areas, or within the field of
technology or marketing.
Furthermore, organisations which can impart working knowledge to their young workers, moulding
and preparing them for future careers, greatly benefit firms and individuals, who will not need to
gain practical skills after graduating. Having received this on-the-job training, they are then in a
position to further their education if they choose, or begin to earn a salary as a professional in their
field.
In conclusion, although the merits of a traditional university education are numerous, I believe the
benefits of more modern options outweigh them, as they are open to all and enable young people
to gain both the theoretical and practical knowledge necessary to earn a good salary from their
chosen profession.",9,9,9,9,9
76,"Some people argue that all experimentation on animals is bad and should be outlawed.
However, others believe that important scientific discoveries can be made from animal
experiments.
Can experimentation on animals be justified? Are there any alternatives?","I believe that experimentation on animals for scientific purposes is justified. There are many
experiment on animals and there is many information from animals. For example, new medicine
we know it is safe because experiment on animals. I don’t want to take medicine that is not safe.
Also, if there were not being some experiment on animals then there will be experiment on
humans. Experiment on humans is not good for humans. Humans maybe die or maybe sick from
experiment. Animals die and are sick many people don’t like this but better than humans. On the
other hand, experiment on animals is for make ups also. This is not good thing for animals. Many
animals are suffer and dead so that make ups safer so that people look good., This is not good for
animals. Many make ups say on packets not tested an animals. All make ups can say not tested
on animals. This would be better. There are different animals for to be experiment. Sometimees
there are monkeys and sometimes there are dogs and sometimes there are rats and small ones. I
think small animals better experimentations than big animals. Big animals have big brains and so
not nice for experimentations like human brains but rats and small ones have small brains so
experimentations are better. If I am know medicines is test on animals then I know medicines safe.
This important to me. I think that medicines need experimentations and alternatives are not safer.
Makeups and shampoos and things can not be on animals experiments this is not need.",5,5,5,5,5
77,"Some people argue that all experimentation on animals is bad and should be outlawed.
However, others believe that important scientific discoveries can be made from animal
experiments.
Can experimentation on animals be justified? Are there any alternatives?","Some people think that experimentation on animals is never justified and it is bad for animals.
There are some alternatives for animals. I believe that experimentation on animals is justified in
some times but that we also must protect animals.

Many medicines are tested on animals. If medicines are not tested on animals then they would not
are safe for every person to have. Testing medicines on animals has cruel and the animals suffer
but I think that the animals suffer is better than humans suffer. There are no altearnatives for
medicines testing on animals.
On the other hand some people say that it is always cruel to test medicines on animals. Animals
and humans are very different and maybe animal experimentation results have difference for
humans. There are some experimentation that is not very useful for humans and this should be
stop. Furthermore there is animal experimentation for cosmetics. I think that this is not a good thing
for the animals. Nowadays many cosmetics say they are not tested on animals on the label and
some people only buy these cosmetics. I think that if you say you are test on animals then many
people would not buy your product and this is bad for your business.
in conclusion I believe that testing on animals has cruel but sometimes it is neccessary. we need
animal tests for some medisines or the medisines are not safe for everybody but not all medisines
and also not for cosmetics as this is bad for the animals.",6,6,6,6,6
78,"Some people argue that all experimentation on animals is bad and should be outlawed.
However, others believe that important scientific discoveries can be made from animal
experiments.
Can experimentation on animals be justified? Are there any alternatives?","Animal testing for scientific reasons is still very common today. For some people the harm for
animals does not justify the experimentation. Others see it as necesary. I think that this is a very
difficult situation but that there are some alternatives.
It is normal for new medicines are tested on animals. In other words, We experimentate so that we
know that the medicine is safe before it is used on human. As a result, I believe that in this case
experimentating is justified as without it many medicines would not be exist today. However, there
are others who argue that in this case it even is not justified and that people are very different to
animals so the tests are not useful.
Another type of testing is for cosmetics. Because lots of beauty products are still tested on animals.
I think that this is not just and we do not need to make animals to suffer like this. Furthermore,
there are lots of companies that don’t do experimented on animals and still make similar products.
There are some alternatives to testing products on animals. Some scientists develop new ways for
example using cells. Many people argue that these ways are good but that there is no animal
cruelty.
in conclusion I would argue that animal testing for medicinal purposes could be accepting if there is
no alternative. The medicine may save lots of people for dying. Animal testing for beauty products
is not acceptable and we should have new ways of test.",7,7,7,7,7
79,"Some people argue that all experimentation on animals is bad and should be outlawed.
However, others believe that important scientific discoveries can be made from animal
experiments.
Can experimentation on animals be justified? Are there any alternatives?","There are a variety of reasons why scientists experiment with animals ranging from cosmetic to
behavioural and pharmaceutical. Some of these are easier to justify than others but there are also
alternatives to animal testing that need to develop further.
One reason for testing on animals is for the development of new cosmetics. This has generated a
great deal more criticism than others as it is much more superfical. Critics argue that these new
products are largely unecessary and that the suffering of animals does not justify the end product.
Furthermore there are many cosmetics that have developed without the need for animal tests.
Another of the most common reasons for animal testing is new drugs. These drugs are used to
treat both animals and humans. Indeed, we can now cure many illnesses because of animal
testing and it is for this reason that proponents of animal testing argue that they are so vital.
Although, this argument values the lives of humans above the suffer of animals.
However, alternatives to animal testing do exist. Over the last few years there were scientific
breakthroughs with regards to improvements in testing on cells. If these were to be extended there
will be no need for any animals to suffer. Another possibility is to use computer models to test new
items.
In conclusion, for some people the testing of pharmaceutical drugs on animals is justified and
appropriate. Although I would agree with this to an extent and would argue that human lives are
more important than animals, I also think that the alternatives to animal testing need to have further
development.",8,8,8,8,8
80,"Some people argue that all experimentation on animals is bad and should be outlawed.
However, others believe that important scientific discoveries can be made from animal
experiments.
Can experimentation on animals be justified? Are there any alternatives?","There are a variety of reasons why scientists experiment with animals ranging from cosmetic to
behavioural and pharmaceutical. I believe that some of these are easier to justify than others but
there are also alternatives to animal testing that need to be developed further.
One reason for testing on animals is for the development of new cosmetics. This sector has
generated a great deal more criticism than others as it is much more superficial. Critics argue that
these new products are largely unnecessary and that the suffering of animals does not justify the
end product. Furthermore there are many cosmetics that have been developed without the need
for animal tests.

Another of the most common reasons for animal testing is the development of new drugs. These
drugs can then be used to treat both animals and humans. Indeed, many chronic illnesses are now
treatable because of animal testing and it is for this reason that proponents of animal testing argue
that it is so vital. However, this is a subjective argument as it values the lives of humans above the
suffering of animals.
These arguments relate solely to animal testing, however there are alternatives to this currently
being researched. Over the last few years there have been scientific breakthroughs with regards to
improvements in testing on cells and human tissue. If these were to be extended there would be no
need for any animals to suffer. Another possibility is to use computer models to test new items.
In conclusion, for some people the testing of pharmaceutical drugs on animals is entirely justified
and appropriate. Although I would agree with this to an extent and would argue that human lives
are more important than animals, I also think that the alternatives to animal testing need to be
further developed.",9,9,9,9,9
